"Time (s)","Sound pressure level (dB)"
4.480644405E1,-1.598073093E1
4.491346545E1,-1.558780512E1
4.502179566E1,-1.589960220E1
4.512897123E1,-1.575588988E1
4.523772754E1,-1.523840333E1
4.534499243E1,-1.573045963E1
4.545190217E1,-1.576522190E1
4.555932774E1,-1.612015761E1
4.566691556E1,-1.496410883E1
4.577412285E1,-1.376294857E1
4.588164806E1,-1.455760282E1
4.599057045E1,-1.517847492E1
4.609781285E1,-1.510427538E1
4.620508894E1,-1.570564167E1
4.631216399E1,-1.593020980E1
4.642000759E1,-1.542697615E1
4.653225634E1,-1.570410356E1
4.663980811E1,-1.547990477E1
4.674678608E1,-1.624032961E1
4.685364483E1,-1.565811704E1
4.696127139E1,-1.582470348E1
4.706851858E1,-1.577795391E1
4.717618670E1,-1.577482828E1
4.728343045E1,-1.550366405E1
4.739045269E1,-1.458646799E1
4.750581769E1,-1.552247974E1
4.761287759E1,-1.488978832E1
4.772040764E1,-1.520708073E1
4.782798733E1,-1.578577346E1
4.793513128E1,-1.540004524E1
4.804248154E1,-1.431995818E1
4.815096519E1,-1.413331609E1
4.825897832E1,-1.359845360E1
4.837303170E1,-1.523059178E1
4.849428639E1,-1.453059249E1
4.860230561E1,-1.459751187E1
4.870959842E1,-1.478349267E1
4.881691842E1,-1.441281838E1
4.892563279E1,-1.392299387E1
4.903319628E1,-1.465309084E1
4.914043826E1,-1.593249911E1
4.924787253E1,-1.560229772E1
4.935558029E1,-1.431722583E1
4.946270040E1,-1.429495347E1
4.957012081E1,-1.494700108E1
4.967854019E1,-1.444368272E1
4.978599811E1,-1.492733716E1
4.989349863E1,-1.474108131E1
5.000086519E1,-1.483325213E1
5.010800321E1,-1.387527659E1
5.021510326E1,-1.566225403E1
5.032263321E1,-1.511125789E1
5.043273259E1,-1.509562562E1
5.053999061E1,-1.469972460E1
5.064763363E1,-1.307694723E1
5.075495014E1,-1.349291609E1
5.086244446E1,-1.483155519E1
5.097095675E1,-1.475430109E1
5.107831701E1,-1.409044596E1
5.118660206E1,-1.455554956E1
5.129349889E1,-1.507675728E1
5.140079852E1,-1.553834097E1
5.150851873E1,-1.514287860E1
5.161566425E1,-1.597279206E1
5.172307352E1,-1.590833271E1
5.183042779E1,-1.580957532E1
5.193865003E1,-1.546314319E1
5.204662160E1,-1.532998349E1
5.215395654E1,-1.493704765E1
5.226162524E1,-1.481051177E1
5.237120738E1,-1.556311648E1
5.248252514E1,-1.470875035E1
5.258969029E1,-1.382574140E1
5.269692086E1,-1.466217664E1
5.280538941E1,-1.436681795E1
5.291235269E1,-1.423043807E1
5.301968571E1,-1.500313022E1
5.312686722E1,-1.499067986E1
5.323406878E1,-1.524799736E1
5.334240186E1,-1.507579026E1
5.344997847E1,-1.471708050E1
5.355763368E1,-1.461871739E1
5.366641743E1,-1.459490431E1
5.377548790E1,-1.507157337E1
5.388347774E1,-1.436969817E1
5.399160212E1,-1.439015766E1
5.409909008E1,-1.495049748E1
5.420609847E1,-1.467228258E1
5.431826712E1,-1.561796795E1
5.443102998E1,-1.523438918E1
5.453846118E1,-1.503488294E1
5.464764399E1,-1.472484700E1
5.475633118E1,-1.458337095E1
5.486158347E1,-1.565029574E1
5.497426805E1,-1.556701654E1
5.508294946E1,-1.464563103E1
5.519072435E1,-1.540282219E1
5.529825727E1,-1.561785478E1
5.540555196E1,-1.500989975E1
5.551269941E1,-1.561397079E1
5.562000399E1,-1.556452932E1
5.572750383E1,-1.504736374E1
5.583536618E1,-1.456234985E1
5.594269659E1,-1.630325484E1
5.604985258E1,-1.555124258E1
5.615770899E1,-1.531574382E1
5.626500685E1,-1.453485918E1
5.637295753E1,-1.514016464E1
5.648039977E1,-1.550195194E1
5.658781711E1,-1.487258956E1
5.669485232E1,-1.476888879E1
5.680228368E1,-1.459120896E1
5.690953086E1,-1.441101429E1
5.701669930E1,-1.483225343E1
5.712406305E1,-1.509524707E1
5.723106060E1,-1.433393734E1
5.733863284E1,-1.487689246E1
5.744611482E1,-1.470246367E1
5.755312467E1,-1.500175778E1
5.766071456E1,-1.425183217E1
5.776778966E1,-1.502088290E1
5.787488253E1,-1.527022255E1
5.798240748E1,-1.532702060E1
5.808942430E1,-1.491856868E1
5.819737362E1,-1.480435465E1
5.830935727E1,-1.605557626E1
5.841653201E1,-1.534759213E1
5.852406914E1,-1.543263758E1
5.863376862E1,-1.654494505E1
5.874099295E1,-1.608929949E1
5.884814128E1,-1.547536000E1
5.895564914E1,-1.580232515E1
5.906319034E1,-1.624022905E1
5.916999842E1,-1.413214318E1
5.927735628E1,-1.540525873E1
5.938442899E1,-1.594986324E1
5.949179461E1,-1.545815454E1
5.959876753E1,-1.546870894E1
5.970580024E1,-1.523381193E1
5.981322925E1,-1.500695890E1
5.992209576E1,-1.481839140E1
6.002900831E1,-1.549726684E1
6.013675467E1,-1.501324022E1
6.024640992E1,-1.559311823E1
6.035408149E1,-1.594378387E1
6.046429644E1,-1.522771462E1
6.057167571E1,-1.541449767E1
6.067884446E1,-1.522973952E1
6.078654618E1,-1.549857817E1
6.089342737E1,-1.527870610E1
6.100089701E1,-1.454668613E1
6.110844409E1,-1.532969140E1
6.121547368E1,-1.521995428E1
6.132275935E1,-1.534164062E1
6.142989805E1,-1.555291310E1
6.153719117E1,-1.478862571E1
6.164452638E1,-1.509929018E1
6.175241659E1,-1.457885217E1
6.186027529E1,-1.567333765E1
6.196797383E1,-1.550002989E1
6.207531112E1,-1.495865506E1
6.218629940E1,-1.538483580E1
6.229368029E1,-1.456425877E1
6.240115034E1,-1.504463691E1
6.250902925E1,-1.530512276E1
6.262067680E1,-1.543536280E1
6.274736315E1,-1.509805566E1
6.286118065E1,-1.528735878E1
6.297407591E1,-1.492628751E1
6.308791065E1,-1.529545130E1
6.319603904E1,-1.504563424E1
6.330922044E1,-1.522530296E1
6.341717091E1,-1.546409992E1
6.352515826E1,-1.613762183E1
6.363264841E1,-1.577612392E1
6.374057430E1,-1.549151065E1
6.384864326E1,-1.510657899E1
6.395579086E1,-1.451065736E1
6.406330346E1,-1.488194175E1
6.417434977E1,-1.572016125E1
6.428155091E1,-1.505816752E1
6.438894196E1,-1.524471240E1
6.449632961E1,-1.558172405E1
6.460336310E1,-1.513786044E1
6.471025399E1,-1.500547864E1
6.481817346E1,-1.529686637E1
6.492516294E1,-1.522182878E1
6.503351961E1,-1.526448617E1
6.514098128E1,-1.510387408E1
6.524817477E1,-1.505420895E1
6.535671878E1,-1.544692150E1
6.546408998E1,-1.576827595E1
6.557165685E1,-1.582120295E1
6.567997648E1,-1.522773690E1
6.578735810E1,-1.537104673E1
6.589423701E1,-1.547674886E1
6.600182055E1,-1.608322318E1
6.611090904E1,-1.520913156E1
6.621904357E1,-1.527996255E1
6.632658774E1,-1.540827320E1
6.643356711E1,-1.493724265E1
6.654092018E1,-1.616169796E1
6.664913070E1,-1.622879678E1
6.675787180E1,-1.515609556E1
6.686568935E1,-1.540166116E1
6.697309622E1,-1.491585810E1
6.708051638E1,-1.444437620E1
6.718916820E1,-1.395035027E1
6.729712388E1,-1.509407525E1
6.740559471E1,-1.489843722E1
6.751262737E1,-1.535309056E1
6.761980935E1,-1.516568930E1
6.772838774E1,-1.515435676E1
6.783673445E1,-1.557846617E1
6.794562607E1,-1.483330540E1
6.805706914E1,-1.528868232E1
6.816912836E1,-1.531225783E1
6.827797555E1,-1.459870910E1
